Volume;File name;File type;Species name RAW;Species name CURRENT;Genus;Epithet;Group;Family;Dutch common name;Link.KB;;;;;;;;;;;;;
1;KW_T_423_1_0020R.tif.jpg;illustration;Veronica chamaedrys;Veronica chamaedrys;Veronica;chamaedrys;Flowering plants;Brassicaceae;Pinksterbloem;https://galerij.kb.nl/kb.html#/nl/florabatava16/page/13/zoom/3/lat/-66.12496236487968/lng/-29.267578125;;;;;;;;;;;;;
1;KW_T_423_1_0022R.tif.jpg;illustration;Menyanthes trifoliata;Menyanthes trifoliata;Menyanthes;trifoliata;Flowering plants;Ranunculaceae;Bosanemoon (gevuldbloemig);https://galerij.kb.nl/kb.html#/nl/florabatava16/page/78/zoom/3/lat/-66.12496236487968/lng/-29.267578125;;;;;;;;;;;;;
1;KW_T_423_1_0024R.tif.jpg;illustration;Anagallis arvensis;Anagallis arvensis subsp. arvensis;Anagallis;arvensis subsp. arvensis;Flowering plants;Plantaginaceae;Vlasbekje (pelorisch);https://galerij.kb.nl/kb.html#/nl/florabatava03/page/55/zoom/3/lat/-69.162557908105/lng/-39.19921875;;;;;;;;;;;;;
1;KW_T_423_1_0026R.tif.jpg;illustration;Lychnis flos cuculi;Silene flos-cuculi;Silene;flos-cuculi;Flowering plants;Saxifragaceae;Haarlems klokkenspel;https://galerij.kb.nl/kb.html#/nl/florabatava15/page/39/zoom/3/lat/-65.98227002980873/lng/-25.224609375;;;;;;;;;;;;;
1;KW_T_423_1_0028R.tif.jpg;illustration;Caltha palustris;Caltha palustris subsp. palustris;Caltha;palustris subsp. palustris;Flowering plants;Asteraceae;Akkerdistel;https://galerij.kb.nl/kb.html#/nl/florabatava23/page/56/zoom/3/lat/-67.16995497083366/lng/-27.509765625;;;;;;;;;;;;;
1;KW_T_423_1_0030R.tif.jpg;illustration;Convallaria majalis;Convallaria majalis;Convallaria;majalis;Flowering plants;Poaceae;Geknikte vossenstaart;https://galerij.kb.nl/kb.html#/nl/florabatava24/page/10/zoom/3/lat/-65.6220226151064/lng/-26.103515625;;;;;;;;;;;;;
1;KW_T_423_1_0032R.tif.jpg;illustration;Epilobium angustifolium;Chamaenerion angustifolium;Chamaenerion;angustifolium;Flowering plants;Cyperaceae;Dwergzegge / Geelgroene zegge;https://galerij.kb.nl/kb.html#/nl/florabatava06/page/42/zoom/3/lat/-68.59248658252949/lng/-37.96875;;;;;;;;;;;;;
1;KW_T_423_1_0034R.tif.jpg;illustration;Erica tetralix;Erica tetralix;Erica;tetralix;Mosses;Orthotrichaceae;cf. Gewone haarmuts;https://galerij.kb.nl/kb.html#/nl/florabatava12/page/43/zoom/3/lat/-66.5482634621744/lng/-29.091796875;;;;;;;;;;;;;
1;KW_T_423_1_0036R.tif.jpg;illustration;Oxalis acetosella;Oxalis acetosella;Oxalis;acetosella;Fungi;Postiaceae;Boompuist anamorf;https://galerij.kb.nl/kb.html#/nl/florabatava24/page/90/zoom/3/lat/-65.6220226151064/lng/-26.103515625;;;;;;;;;;;;;
1;KW_T_423_1_0038R.tif.jpg;illustration;Viola tricolor;Viola tricolor;Viola;tricolor;Flowering plants;Salicaceae;Canadapopulier;https://galerij.kb.nl/kb.html#/nl/florabatava14/page/81/zoom/3/lat/-65.03506043658815/lng/-28.916015625;;;;;;;;;;;;;
