plant_id,dinov2
KW_T_423_10_0011L,5
KW_T_423_10_0013L,22
KW_T_423_10_0015L,0
KW_T_423_10_0017L,3
KW_T_423_10_0020L,4
KW_T_423_10_0022L,14
KW_T_423_10_0024L,7
KW_T_423_10_0026L,14
KW_T_423_10_0028L,3
KW_T_423_10_0030L,4
KW_T_423_10_0032L,16
KW_T_423_10_0034L,21
KW_T_423_10_0038L,3
KW_T_423_10_0040L,4
KW_T_423_10_0042L,5
KW_T_423_10_0046L,4
KW_T_423_10_0048L,4
KW_T_423_10_0050L,4
KW_T_423_10_0052L,5
KW_T_423_10_0054L,22
KW_T_423_10_0056L,4
KW_T_423_10_0058L,4
KW_T_423_10_0060L,4
KW_T_423_10_0062L,10
KW_T_423_10_0066L,10
KW_T_423_10_0068L,4
KW_T_423_10_0070L,4
KW_T_423_10_0072L,5
KW_T_423_10_0076L,9
KW_T_423_10_0077L,4
KW_T_423_10_0079L,4
KW_T_423_10_0081L,5
KW_T_423_10_0083L,10
KW_T_423_10_0085L,18
KW_T_423_10_0087L,5
KW_T_423_10_0089L,4
KW_T_423_10_0091L,5
KW_T_423_10_0093L,21
KW_T_423_10_0099L,4
KW_T_423_10_0103L,22
KW_T_423_10_0105L,5
KW_T_423_10_0107L,4
KW_T_423_10_0109L,4
KW_T_423_10_0111L,5
KW_T_423_10_0117L,15
KW_T_423_10_0119L,4
KW_T_423_10_0125L,22
KW_T_423_10_0127L,0
KW_T_423_10_0129L,4
KW_T_423_10_0133L,5
KW_T_423_10_0137L,4
KW_T_423_10_0139L,4
KW_T_423_10_0145L,15
KW_T_423_10_0147L,4
KW_T_423_10_0149L,4
KW_T_423_10_0151L,5
KW_T_423_10_0153L,5
KW_T_423_10_0157L,4
KW_T_423_10_0159L,3
KW_T_423_10_0161L,5
KW_T_423_10_0163L,17
KW_T_423_10_0167L,4
KW_T_423_10_0169L,4
KW_T_423_11_0010L,5
KW_T_423_11_0012L,22
KW_T_423_11_0014L,9
KW_T_423_11_0016L,4
KW_T_423_11_0018L,4
KW_T_423_11_0020L,3
KW_T_423_11_0022L,19
KW_T_423_11_0026L,3
KW_T_423_11_0028L,4
KW_T_423_11_0030L,11
KW_T_423_11_0032L,5
KW_T_423_11_0036L,3
KW_T_423_11_0038L,4
KW_T_423_11_0042L,22
KW_T_423_11_0046L,1
KW_T_423_11_0048L,4
KW_T_423_11_0052L,8
KW_T_423_11_0056L,4
KW_T_423_11_0058L,4
KW_T_423_11_0064L,18
KW_T_423_11_0066L,4
KW_T_423_11_0068L,4
KW_T_423_11_0070L,5
KW_T_423_11_0072L,15
KW_T_423_11_0076L,5
KW_T_423_11_0078L,4
KW_T_423_11_0080L,8
KW_T_423_11_0082L,21
KW_T_423_11_0086L,3
KW_T_423_11_0089L,3
KW_T_423_11_0091L,8
KW_T_423_11_0093L,22
KW_T_423_11_0095L,8
KW_T_423_11_0097L,4
KW_T_423_11_0099L,4
KW_T_423_11_0101L,5
KW_T_423_11_0107L,3
KW_T_423_11_0109L,3
KW_T_423_11_0113L,5
KW_T_423_11_0115L,19
KW_T_423_11_0117L,3
KW_T_423_11_0119L,3
KW_T_423_11_0121L,22
KW_T_423_11_0125L,3
KW_T_423_11_0129L,3
KW_T_423_11_0133L,13
KW_T_423_11_0135L,10
KW_T_423_11_0137L,1
KW_T_423_11_0141L,15
KW_T_423_11_0143L,14
KW_T_423_11_0147L,5
KW_T_423_11_0149L,3
KW_T_423_11_0151L,21
KW_T_423_11_0155L,0
KW_T_423_11_0157L,4
KW_T_423_11_0159L,4
KW_T_423_11_0161L,5
KW_T_423_11_0163L,20
KW_T_423_11_0165L,15
KW_T_423_11_0167L,15
KW_T_423_12_0010L,22
KW_T_423_12_0012L,3
KW_T_423_12_0014L,11
KW_T_423_12_0018L,0
KW_T_423_12_0020L,3
KW_T_423_12_0024L,10
KW_T_423_12_0028L,0
KW_T_423_12_0032L,8
KW_T_423_12_0034L,22
KW_T_423_12_0036L,3
KW_T_423_12_0038L,3
KW_T_423_12_0042L,22
KW_T_423_12_0044L,7
KW_T_423_12_0046L,4
KW_T_423_12_0048L,5
KW_T_423_12_0050L,19
KW_T_423_12_0054L,5
KW_T_423_12_0056L,7
KW_T_423_12_0058L,5
KW_T_423_12_0060L,22
KW_T_423_12_0062L,21
KW_T_423_12_0064L,7
KW_T_423_12_0072L,5
KW_T_423_12_0074L,21
KW_T_423_12_0076L,3
KW_T_423_12_0078L,3
KW_T_423_12_0081R,5
KW_T_423_12_0085L,0
KW_T_423_12_0089L,22
KW_T_423_12_0095L,16
KW_T_423_12_0097L,0
KW_T_423_12_0099L,8
KW_T_423_12_0101L,21
KW_T_423_12_0107L,3
KW_T_423_12_0109L,1
KW_T_423_12_0115L,4
KW_T_423_12_0119L,4
KW_T_423_12_0121L,4
KW_T_423_12_0123L,3
KW_T_423_12_0125L,3
KW_T_423_12_0127L,5
KW_T_423_12_0129L,5
KW_T_423_12_0133L,4
