Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Gewone ereprijs,Eerenprijs gamanderlijn,Veronica chamaedrys,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/16/zoom/3/lat/-67.06743335108297/lng/-51.328125
Waterdrieblad,Waterdrieblad,Menyanthes trifoliata,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/17/zoom/3/lat/-67.06743335108297/lng/-51.328125
Rood guichelheil,Basterd-Muur,Anagallis arvensis subsp. arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/18/zoom/3/lat/-67.06743335108297/lng/-51.328125
Echte koekoeksbloem,Koekkoeks-bloem,Silene flos-cuculi,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/19/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewone dotterbloem,Water-Boterbloem,Caltha palustris subsp. palustris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/20/zoom/3/lat/-67.06743335108297/lng/-51.328125
Lelietje-van-dalen,Lelie der Dalen,Convallaria majalis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/21/zoom/3/lat/-67.06743335108297/lng/-51.328125
Wilgenroosje,Smal4 blaadige bastaard Wederik,Chamaenerion angustifolium,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/22/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewone dophei,Dop-heide,Erica tetralix,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/23/zoom/3/lat/-67.06743335108297/lng/-51.328125
Witte klaverzuuring,klaver-zuuring,Oxalis acetosella,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/24/zoom/3/lat/-67.06743335108297/lng/-51.328125
Driekleurig viooltje,Driekleurige Viooltjes,Viola tricolor,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/25/zoom/3/lat/-67.06743335108297/lng/-51.328125
Lidsteng,Duizend-Knoop,Hippuris vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/26/zoom/3/lat/-67.06743335108297/lng/-51.328125
Waterviolier,Water-Violier,Hottonia palustris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/27/zoom/3/lat/-67.06743335108297/lng/-51.328125
Akkerwinde,Klokjes-Winde,Convolvulus arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/28/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewoon sneeuwklokje,Sneeuw-Bloem,Galanthus nivalis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/29/zoom/3/lat/-67.06743335108297/lng/-51.328125
Ruige klaproos,Ruige Heul,Papaver argemone,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/30/zoom/3/lat/-67.06743335108297/lng/-51.328125
Kruipend zenegroen,Voortkruipend Zegegroen,Ajuga reptans,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/31/zoom/3/lat/-67.06743335108297/lng/-51.328125
