plant_id,filename,area_pixels,width,height,color_freq_1_hex,color_freq_1_pct,color_freq_2_hex,color_freq_2_pct,color_freq_3_hex,color_freq_3_pct,color_freq_4_hex,color_freq_4_pct,color_freq_5_hex,color_freq_5_pct,color_perceptual_1_hex,color_perceptual_1_pct,color_perceptual_2_hex,color_perceptual_2_pct,color_perceptual_3_hex,color_perceptual_3_pct,color_perceptual_4_hex,color_perceptual_4_pct,color_perceptual_5_hex,color_perceptual_5_pct,color_saliency_1_hex,color_saliency_1_pct,color_saliency_2_hex,color_saliency_2_pct,color_saliency_3_hex,color_saliency_3_pct,color_saliency_4_hex,color_saliency_4_pct,color_saliency_5_hex,color_saliency_5_pct,color_botanical_1_hex,color_botanical_1_pct,color_botanical_2_hex,color_botanical_2_pct,color_botanical_3_hex,color_botanical_3_pct,color_botanical_4_hex,color_botanical_4_pct,color_botanical_5_hex,color_botanical_5_pct,color_chroma_1_hex,color_chroma_1_pct,color_chroma_2_hex,color_chroma_2_pct,color_chroma_3_hex,color_chroma_3_pct,color_chroma_4_hex,color_chroma_4_pct,color_chroma_5_hex,color_chroma_5_pct,color_visual_1_hex,color_visual_1_pct,color_visual_2_hex,color_visual_2_pct,color_visual_3_hex,color_visual_3_pct,color_visual_4_hex,color_visual_4_pct,color_visual_5_hex,color_visual_5_pct,family,genus,species
KW_T_423_1_0020R,KW_T_423_1_0020R.tif_segmented.png,1203204,2848,3659,#696a51,8.09,#737256,6.81,#8a8863,6.31,#94916a,6.3,#7f7d5d,6.06,#bfbc8e,4.35,#c6c0a6,3.97,#b0a686,4.62,#bcab9a,3.35,#696a51,8.09,#b4bcb6,2.4,#c6c0a6,3.97,#bcab9a,3.35,#9fa6a3,1.35,#8f908e,1.07,#bfbc8e,4.35,#94916a,6.3,#b4bcb6,2.4,#8a8863,6.31,#a09a75,5.03,#c5c390,1.51,#bcb988,1.51,#b0ab81,1.55,#a8a37c,1.98,#97956c,3.83,#b4bcb6,2.4,#c6c0a6,3.97,#bcab9a,3.35,#9fa6a3,1.35,#8f908e,1.07,Plantaginaceae,Veronica,Veronica chamaedrys
KW_T_423_1_0022R,KW_T_423_1_0022R.tif_segmented.png,1615410,2846,3679,#747154,9.91,#7d7a5c,9.55,#888462,7.78,#9f9d6f,7.13,#949068,6.47,#cec3a4,4.01,#c3b689,1.13,#b9aa7f,1.98,#c09b90,0.97,#c3bb9a,3.37,#cec3a4,4.01,#c3bb9a,3.37,#b0877f,0.88,#c09b90,0.97,#987a6d,0.94,#b9aa7f,1.98,#c3b689,1.13,#949068,6.47,#7d7a5c,9.55,#9f9d6f,7.13,#beae81,1.93,#b0a983,2.32,#97966b,5.8,#8c8a65,5.73,#a1a072,5.77,#cec3a4,4.01,#c3bb9a,3.37,#b0877f,0.88,#c09b90,0.97,#987a6d,0.94,,Menyanthes,Menyanthes trifoliata
KW_T_423_1_0024R,KW_T_423_1_0024R.tif_segmented.png,770833,2848,3667,#706e57,7.74,#938e6e,7.24,#7a785f,7.01,#868166,6.94,#63644f,5.6,#e2db7e,0.71,#d1bf60,0.51,#8a5446,1.5,#9c6354,1.95,#b07c68,1.19,#c4bda1,3.33,#b9b098,3.09,#c2bf8e,1.67,#b4b087,2.82,#b07c68,1.19,#e2db7e,0.71,#d1bf60,0.51,#c2bf8e,1.67,#9c6354,1.95,#8a5446,1.5,#e2dc7a,0.66,#d7c765,0.38,#beab58,0.19,#bbb685,1.62,#8c5346,1.29,#c4bda1,3.33,#b9b098,3.09,#c2bf8e,1.67,#b4b087,2.82,#b07c68,1.19,,Anagallis,Anagallis arvensis subsp. arvensis
KW_T_423_1_0026R,KW_T_423_1_0026R.tif_segmented.png,853338,2860,3683,#776650,6.79,#87735c,5.77,#8e8467,5.0,#c8bea5,4.89,#77755a,4.22,#bbb585,4.12,#c8bea5,4.89,#935a5b,1.38,#c9a9a0,2.23,#776650,6.79,#c8bea5,4.89,#c9a9a0,2.23,#b79186,3.05,#bcaa94,3.68,#a67d76,2.8,#935a5b,1.38,#bbb585,4.12,#9a9771,3.09,#a67d76,2.8,#aea481,4.21,#915759,0.97,#9b6a68,1.56,#bab586,2.98,#c89e9a,1.03,#aa7e79,1.95,#c8bea5,4.89,#c9a9a0,2.23,#b79186,3.05,#bcaa94,3.68,#a67d76,2.8,Caryophyllaceae,Silene,Silene flos-cuculi
KW_T_423_1_0028R,KW_T_423_1_0028R.tif_segmented.png,2060823,2856,3659,#6b7057,9.78,#60654e,9.65,#535b43,8.63,#74795e,8.45,#7f8164,7.48,#dcd473,3.0,#d4c35f,4.09,#c4af4c,1.66,#c4b15d,1.91,#af964c,2.01,#c6ba9e,3.15,#b2ab89,4.89,#c6c07e,1.82,#a39c7a,5.13,#95926f,6.47,#d4c35f,4.09,#c4af4c,1.66,#dcd473,3.0,#c4b15d,1.91,#af964c,2.01,#d7c862,2.63,#dcd470,2.12,#c6b14f,1.91,#cdbb5c,2.61,#dcd783,1.31,#c6ba9e,3.15,#b2ab89,4.89,#c6c07e,1.82,#a39c7a,5.13,#95926f,6.47,,Caltha,Caltha palustris subsp. palustris
KW_T_423_1_0030R,KW_T_423_1_0030R.tif_segmented.png,1080882,2856,3675,#60644f,10.54,#686c55,10.5,#90906a,7.16,#999970,7.01,#71745b,7.0,#753635,0.97,#804e45,1.01,#bdb390,2.82,#c3bba0,2.18,#9d6c5f,0.67,#c3bba0,2.18,#9d6c5f,0.67,#804e45,1.01,#753635,0.97,#bdb390,2.82,#753635,0.97,#90906a,7.16,#a5a17c,3.92,#804e45,1.01,#999970,7.01,#752f33,0.63,#773e3a,0.5,#986157,0.44,#bf8478,0.22,#aead86,1.64,#c3bba0,2.18,#9d6c5f,0.67,#804e45,1.01,#753635,0.97,#bdb390,2.82,,Convallaria,Convallaria majalis
KW_T_423_1_0032R,KW_T_423_1_0032R.tif_segmented.png,1860993,2854,3667,#9a9573,7.99,#c2878b,7.82,#8e8a6a,6.86,#a4a07d,5.84,#817e61,5.02,#c2878b,7.82,#cbc79b,2.01,#a56569,4.21,#864c4c,1.9,#b17779,4.03,#c1b599,3.89,#cbc79b,2.01,#beab8b,2.48,#b0a889,3.42,#a4a07d,5.84,#a56569,4.21,#c2878b,7.82,#94595b,4.03,#b17779,4.03,#864c4c,1.9,#ad6d72,2.26,#9a5d60,3.48,#c18489,4.36,#b87b7f,2.79,#a06768,3.43,#c1b599,3.89,#cbc79b,2.01,#beab8b,2.48,#b0a889,3.42,#a4a07d,5.84,,Chamaenerion,Chamaenerion angustifolium
KW_T_423_1_0034R,KW_T_423_1_0034R.tif_segmented.png,980552,2860,3675,#cbc6ae,6.26,#b3b291,5.85,#a8a98a,5.29,#a09c7e,5.11,#bebaa1,4.96,#c3b685,1.31,#955c5f,2.29,#cbc6ae,6.26,#a26a6c,2.3,#cbada5,1.88,#cbc6ae,6.26,#bebaa1,4.96,#cbada5,1.88,#676552,1.96,#70715e,4.29,#955c5f,2.29,#a26a6c,2.3,#ad7c7c,1.74,#c3b685,1.31,#b9908c,1.57,#9b6165,1.64,#a36a6e,1.45,#92575b,1.05,#ab7577,1.12,#b18180,0.89,#cbc6ae,6.26,#bebaa1,4.96,#cbada5,1.88,#676552,1.96,#70715e,4.29,,Erica,Erica tetralix
KW_T_423_1_0036R,KW_T_423_1_0036R.tif_segmented.png,760662,2856,3679,#a3a073,5.03,#68634e,4.93,#b8ab92,4.67,#837e60,4.34,#c1c18c,4.31,#ddda86,0.52,#c1c18c,4.31,#58463b,2.91,#c3bba0,4.29,#b0ae7e,3.85,#c3bba0,4.29,#b8ab92,4.67,#ae9c87,2.72,#a08b7a,1.96,#c1c18c,4.31,#ddda86,0.52,#c1c18c,4.31,#98956b,4.04,#b0ae7e,3.85,#a3a073,5.03,#e0dc88,0.4,#c7c789,1.6,#bcbc80,1.29,#8d5d54,0.33,#a09c70,3.75,#c3bba0,4.29,#b8ab92,4.67,#ae9c87,2.72,#a08b7a,1.96,#c1c18c,4.31,,Oxalis,Oxalis acetosella
KW_T_423_1_0038R,KW_T_423_1_0038R.tif_segmented.png,425372,2862,3675,#867f66,4.83,#9c9878,4.8,#918b6f,4.61,#b0af89,4.61,#a6a482,4.58,#d6cd7b,1.43,#c0b179,1.18,#bdbd90,4.36,#c5bfa3,3.6,#b0af89,4.61,#c5bfa3,3.6,#b7b097,3.05,#a6a482,4.58,#9c9878,4.8,#b0af89,4.61,#d6cd7b,1.43,#c0b179,1.18,#bdbd90,4.36,#b0af89,4.61,#a6a482,4.58,#d5cb74,0.68,#d7cf89,0.93,#c2b36c,0.49,#a7965b,0.21,#c1c190,2.28,#c5bfa3,3.6,#b7b097,3.05,#a6a482,4.58,#9c9878,4.8,#b0af89,4.61,,Viola,Viola tricolor
