,Agaricaceae,Amanitaceae,Apiaceae,Aristolochiaceae,Asteraceae,Auriscalpiaceae,Bankeraceae,Boletaceae,Brassicaceae,Caprifoliaceae,Caryophyllaceae,Cladoniaceae,Clitocybaceae,Cortinariaceae,Crassulaceae,Cyperaceae,Dryopteridaceae,Equisetaceae,Fabaceae,Fontinalaceae,Gomphidiaceae ,Grifolaceae,Gymnosporangiaceae,Helvellaceae,Hydnaceae,Hydrocharitaceae,Hygrophoraceae,Hymenochaetaceae,Inocybaceae,Isoetaceae,Lamiaceae,Lycoperdaceae,Lycopodiaceae,Melanthiaceae,Onagraceae,Orchidaceae,Orobanchaceae,Papaveraceae,Parmeliaceae,Plantaginaceae,Poaceae,Polyporaceae,Polytrichaceae,Porellaceae,Postiaceae,Pottiaceae,Pucciniaceae,Ranunculaceae,Rosaceae,Russulaceae,Salicaceae,Sapindaceae,Sclerodermataceae,Serpulaceae,Squamanitaceae,Tricholomataceae
Agaricaceae,0.0,3.4305518033441875,6.315485247639101,11.947333463343043,5.054516748314173,11.833629355752047,9.431365065895704,22.60255982717176,3.994622224017232,1.1602472472276901,2.9774060775895124,3.3075267082872233,6.995012537419291,5.2986155733673534,6.8940214831084665,7.1098250652004085,8.537610989034995,2.903256313938046,5.759352106926905,14.681636131612114,6.865669856477925,9.989797818590093,6.728599653913472,11.38451107003704,14.740097995540298,10.453139018487512,7.925677532966003,14.11408038732926,4.791552790649336,8.855706782086273,3.6974246299134452,4.006014652615909,1.9678053755228702,10.852289527189383,0.5073941931111499,3.6792787361687878,4.777876493782286,12.632708902632253,3.8483200293719317,7.4382869767066015,3.0798324224504996,8.498357298368008,2.3304450098138223,1.9067643813560924,5.798875892663247,7.223775761014654,1.294201036370358,2.330066226069385,6.384425045521529,4.571649023829417,8.121038949133078,1.7349030600987978,4.097928493335265,5.482048177957136,11.815551290618004,2.4081718897756765
Amanitaceae,3.4305518033441875,0.0,3.807565921053709,10.511964108507751,3.0314242918910224,9.697561482237559,6.339562594556937,21.84507684608812,2.562111192992429,2.3167792845816164,1.108328917369934,2.2656525987772125,3.7575270425815033,2.4929795164050352,5.0635821114575235,5.81336610663511,6.789075492606753,1.0552346306665712,4.298597211721127,12.344133077391081,6.978919702490005,10.350781449279078,7.505551648020742,9.517119490957825,11.832593192255183,9.860349686119822,8.59425229251845,13.555163641758272,3.4380326672934687,7.290068176265185,3.983735144790044,3.0002984294645696,2.1355171045483154,9.115092495170016,3.754109879456884,4.758705037339255,3.4951759731824774,11.203977404778223,6.832304733075772,5.57462292013628,3.4945491344151436,6.281486249890989,2.634320338353382,1.6117740892061085,3.301050936364096,7.817406394975414,3.983797496856909,2.0084258001058064,3.340950188583835,2.563081292653171,5.560020112227851,4.892408986424341,6.480463549872373,7.935579046427284,10.146477820361518,1.9088570220837546
Apiaceae,6.315485247639101,3.807565921053709,0.0,6.903098787833973,1.4683251443135352,11.57847745544306,5.342623223701559,18.640993324406974,3.5820519740767445,5.53586751878381,4.8363814293475205,3.0977021322939304,2.540964034260769,1.7048600099594173,2.2563295748688015,2.907500734484551,3.271219305321045,3.7246336147697634,2.6186922572745166,8.586751525691044,8.058963689223832,8.418189486691412,6.690787018185728,5.89295055647179,12.172448045698996,10.73750730727758,10.73754999020405,10.819148620933742,3.688238456207566,4.942945964920713,7.6387769460428885,4.663011995901022,4.966883955272755,5.407174859263755,6.705735905625138,8.331077074072725,6.633612251445502,7.6372908293619,9.551737788383264,2.511446074787052,4.266296378160174,2.9719513555657393,4.444024806046349,5.018931506070836,5.276270457731527,6.723582483345315,6.115360537612355,4.362260190558955,3.8403012576834015,2.0395946917756667,2.002955923352203,7.528304971170381,9.910285647835938,11.4136958326202,7.096281013143281,4.507568645292028
Aristolochiaceae,11.947333463343043,10.511964108507751,6.903098787833973,0.0,7.558850751028908,17.7571792121769,10.186777638879306,12.676377784850091,9.450018309871913,11.60605220844177,11.475043950536483,8.887679132544637,8.785402545519426,8.414578234362951,6.062773331125867,5.033386087403484,3.9651798079694394,10.104178411860499,7.1155747166777905,4.6382482150466195,12.33605238430425,6.5191349914189995,8.055901685048747,2.84725728569046,17.069710780785062,14.795625593734512,15.70672569081779,6.774664261457582,9.069435560846756,6.48357277331787,14.150381279920104,10.471157915338045,10.996726408485578,1.666859945210491,12.316577574319357,14.62494901257486,13.23829295895462,1.7983916052258886,14.491711795650989,5.593631217097497,9.104468645043116,5.425886248492557,9.995154570286196,11.325887844025795,11.793532472710954,7.62823670005035,11.14224172646701,10.318239836189633,10.211851122698846,8.184093250531179,5.876356859546879,12.680299620433784,15.737928656588664,17.201602637009334,5.3178122141916,10.582305155239304
Asteraceae,5.054516748314173,3.0314242918910224,1.4683251443135352,7.558850751028908,0.0,11.492086357715971,5.859385679624268,19.31047027071909,2.3128890734421086,4.360396978267976,3.928756251631308,1.9307149571575792,3.1339720044794657,1.3567882049292572,2.1811703471932358,3.1690697867680955,3.7896202552245155,2.6000239259187476,1.7336534911115293,9.798366715281478,6.915090378952839,8.250673535321834,6.175310823263608,6.924458067237611,12.61252650740037,9.940640162633645,9.5570508226641,11.31953463364163,2.5222645885599833,4.813279820453676,6.624248915528636,3.4589364988839275,3.6796725028232347,6.234513287772634,5.413527063023202,7.1980702608941405,5.819282953811704,8.410911627960196,8.126724406547451,2.6708470306312875,2.832956009610507,4.168973596957552,3.028950634422614,3.908706777678393,4.794026177660174,6.313246004824944,4.771360076347057,3.0337854758789415,3.7449367991066707,0.6961790653473394,3.41467143699007,6.333772451151129,8.63699676237681,10.145839776979953,7.40034679777503,3.2201775594463298
Auriscalpiaceae,11.833629355752047,9.697561482237559,11.57847745544306,17.7571792121769,11.492086357715971,0.0,7.819165927925386,29.838236670052368,10.294796184801964,10.866264023956672,9.264792647245663,11.799272369683885,9.196169970481924,10.193532732114654,12.296579950405869,14.444515400177083,14.040465204061588,10.312681786778146,11.925001923448562,17.807608201503143,10.714900364998808,19.71411474330639,17.165403632703956,16.757942773370985,5.050704411773635,9.679427689232083,10.118993838378467,22.272318660872738,10.469650954721308,12.782873747588352,8.580498754860683,9.687015115116182,10.497654961379997,16.264814815699864,11.79084857923925,9.28430874176915,7.1229660288409535,18.714376144132455,13.125097713863841,12.606320749689896,12.433282606258903,13.87933550985839,11.43818704301646,10.287927566112577,6.856688535536828,17.438865850478006,12.770736440367557,10.759967103372002,7.845516379476867,11.04142299442309,12.642566408890954,13.302770990944786,11.402753191415153,12.147344592953498,15.148586980171054,10.400768265566352
Bankeraceae,9.431365065895704,6.339562594556937,5.342623223701559,10.186777638879306,5.859385679624268,7.819165927925386,0.0,22.420809265541823,5.907651512419917,8.378200651126814,6.792253318338488,7.308499929351695,3.1019323277814617,4.750690661016184,5.6192372432865545,8.007962467790284,6.822260351409946,6.638601420576699,5.941665350156746,10.210829197438375,8.081057192907652,13.522368513686008,11.950959432095951,9.439881673054812,7.183878047173505,8.588361713380312,10.16265500695655,15.464473694806705,5.650918055555144,5.9448234289200474,8.515234181727985,6.0941989440434,7.538502257341796,8.757182264425191,9.629431581769046,9.359039361404408,6.518571988337524,11.238045118651854,11.875434945749625,5.688878924433583,8.057154463209285,7.2674244992494526,7.6823883858131365,7.640953198417556,4.383922319440222,12.014976026775527,9.686460147808093,7.25838655535162,3.0893434966121767,5.7847956601504436,5.877615607762259,11.06976624265349,11.543825667749129,12.942946379676563,7.76416917566771,7.103239553007986
Boletaceae,22.60255982717176,21.84507684608812,18.640993324406974,12.676377784850091,19.31047027071909,29.838236670052368,22.420809265541823,0.0,21.3862022182361,22.55628972448028,22.84780740395898,19.995331287224044,20.73609868102741,20.2923037579515,18.411952756996556,16.17249424589538,16.39091743169996,21.521350843898922,19.27902505797371,13.083023619289945,24.527161917085156,13.110974542313997,16.290199371709672,13.083472367696661,28.792622632634572,27.319630290695763,27.810976440666895,8.654170356353841,21.219984641212793,19.086257211240316,25.558594213085584,22.4850911686578,22.361105784785224,13.842421916200916,23.018320517683453,25.967064600919546,25.099977096182226,11.299159485299267,25.109740594872036,18.031884350975837,20.314934788317263,16.129327950921027,21.309763407362382,22.48261804425709,23.901407421805292,15.714780485623363,21.68703535388979,21.7247170828323,22.356587516228707,19.96992828225975,17.257468990568302,22.597686244704292,26.593309022510827,27.881014905363628,17.405306335144534,22.060549518428367
Brassicaceae,3.994622224017232,2.562111192992429,3.5820519740767445,9.450018309871913,2.3128890734421086,10.294796184801964,5.907651512419917,21.3862022182361,0.0,3.276922887070161,2.810053320086068,2.4636589005685954,3.8570421456655963,2.2359567455705065,3.5303296622273797,5.294349331838236,5.5747230706280835,1.7877341774280535,2.407998700648959,11.812995009537351,4.878569072902668,9.794431306218343,7.411492932312556,9.142865345566406,12.114942908124354,8.054989015835957,7.269409920867412,13.390624868165268,0.9336536713024673,5.166775605841396,4.873848054001295,1.1556594214987759,2.147669813182803,8.248885780926324,4.173765557390624,5.32001988249083,4.051898760364809,10.490453228857724,6.417973114055905,4.081022553536018,2.3498528664095493,6.461126491712011,1.881779757411179,2.8042398495740057,3.468210875660318,7.682373553774432,3.9227167384584662,1.6901817022748997,3.2553456113092016,1.6409021510193862,5.577049702593782,5.607805528791955,6.835310402642056,8.349826444080067,8.234969206967323,1.672573278048116
Caprifoliaceae,1.1602472472276901,2.3167792845816164,5.53586751878381,11.60605220844177,4.360396978267976,10.866264023956672,8.378200651126814,22.55628972448028,3.276922887070161,0.0,1.8265874763277123,2.7561632745629283,5.955156755711293,4.375779121762771,6.30584143315152,6.74891350415199,8.035696823445885,1.9352192617086537,5.231156250705479,14.04780726791825,6.668760307255854,10.247056901100008,7.067073295784738,10.900936055796725,13.63844207189395,10.04131601569657,7.8464937178654806,14.097858927691675,4.161037068591046,8.341817140592369,3.1716257565856867,3.3275689929507677,1.229086028324125,10.400183945128616,1.4515045208818018,3.4799019849116632,3.887513809603429,12.308232395893024,4.690041649614769,6.85570144076541,3.000589566496136,7.8631533307065045,1.9879219288938765,0.7589196960679887,4.743764404694192,7.510914361654836,2.1000801284901267,1.643163834019748,5.308826596957514,3.834899479751141,7.364064660304163,2.7583873966242596,4.547298340314346,5.996167457368809,11.326585318320078,1.6204597448171696
