genus,n_images,mean_pairwise_distance,std_pairwise_distance,color_space_volume,centroid_L,centroid_a,centroid_b
1.,1,,,,76.96799954094115,-4.432582825965496,16.270250813817636
AS:,1,,,,57.81527068467365,3.7976304357043897,13.240913507184455
Abortiporus,2,10.135151100478302,0.0,,55.15741998181018,-2.8986767749772335,13.459758134667574
Abutilon,1,,,,62.10124037135354,1.437603697219683,28.1685446262168
Acer,2,13.112963292410052,0.0,,65.1329970986528,-0.8727925076519091,12.888269050841812
Achillea,3,12.89226666258739,4.198342006831323,,58.91318479598279,-3.0496371484476152,14.7664318254226
Acmella,1,,,,58.932222559049535,2.7893502391278515,21.8776758795027
Aconitum,2,15.453361093868079,0.0,,52.23903316282474,-8.131146697557275,17.070814691961854
Acorus,1,,,,74.7211021354791,-1.6931117330440204,15.42907040741391
Actaea,1,,,,60.38388246904955,-0.13933289125965148,7.78350414472324
Adiantum,1,,,,62.2481574594068,1.8519060617648195,18.755039155738416
Adonis,2,12.622981303814706,0.0,,67.22034556802514,-1.0319751493260965,17.99815447603249
Adoxa,1,,,,49.59249825100943,-1.7806997553991954,15.653477369675786
Aegagropila,2,13.01772124905524,0.0,,64.09258988873407,-1.6153923866800206,17.698000017663404
Aegilops,1,,,,61.39706677173527,-8.961101631302778,16.09802374509167
Aegopodium,1,,,,56.092687316020495,-5.229261157687171,18.049314016706433
Aesculus,1,,,,49.80140436585389,-0.598471248896878,17.65679612837317
Aethusa,1,,,,57.115921883421954,-2.414534292658694,12.755906723620285
Agaricales,2,16.689371056238063,0.0,,57.57385807593431,-7.723777656214239,20.56651913792826
Agariclales,1,,,,66.31438573837414,-2.7128069118186717,27.258383685274147
Agaricus,2,22.59821134124226,0.0,,64.6692300615089,5.529576232448999,22.08185632884463
Agrimonia,2,12.784226411304898,0.0,,60.918689264834995,-1.2571924634789682,14.176054412898836
Agrocube,1,,,,61.552527345410425,-1.6683605525846978,15.802360106333103
Agrocybe,3,10.13143203508261,1.0912733780023727,,60.974691486556914,2.176510619507374,17.552585063322084
Agrostemma,1,,,,56.3706389531051,-7.5733330076680865,21.42054403745718
Agrostis,4,11.074770065838843,3.91059501279846,37.64298984120512,57.825161640213466,-1.3816519421484996,18.258247218388085
Aira,2,15.41321144711845,0.0,,66.08710471505762,-2.081835929832337,16.428630219859624
Ajuga,3,14.971342094231057,5.214320636968703,,61.13753724422316,-0.0626213125597328,20.507411538820648
Alchemilla,1,,,,60.510745471166416,-7.316762195008869,20.248605279785096
Aleuria,1,,,,66.05220002873341,-2.110588171132496,18.20277950668104
Alisma,2,14.565437111118904,0.0,,66.45527566164239,-1.7471206636887429,16.714700751626662
Alliaria,1,,,,62.885221320588926,-6.829962906656335,17.03382157333908
Allium,7,10.661652370984758,6.127125135274894,193.77310589928365,57.60001649713503,-1.336807738121644,16.024531734214417
Alnus,2,15.976493400502939,0.0,,58.0914755663284,-2.0565830167480557,11.84371733915692
Alopecurus,7,10.392204670157732,4.1816222781898595,149.23751872795947,61.04034321289081,-2.6076238857943608,17.12239616644367
